,County,State,Metro,2013 Average (Studio),2014 Average (Studio),2015 Average (Studio),2016 Average (Studio),2017 Average (Studio),2018 Average (Studio),2013 Average (SFR),2014 Average (SFR),2015 Average (SFR),2016 Average (SFR),2017 Average (SFR),2018 Average (SFR),2013 Average (MFR),2014 Average (MFR),2015 Average (MFR),2016 Average (MFR),2017 Average (MFR),2018 Average (MFR),2013 Average (Duplex Triplex),2014 Average (Duplex Triplex),2015 Average (Duplex Triplex),2016 Average (Duplex Triplex),2017 Average (Duplex Triplex),2018 Average (Duplex Triplex),2013 Average (Condo),2014 Average (Condo),2015 Average (Condo),2016 Average (Condo),2017 Average (Condo),2018 Average (Condo),2013 Average (All Homes),2014 Average (All Homes),2015 Average (All Homes),2016 Average (All Homes),2017 Average (All Homes),2018 Average (All Homes),2013 Average (One Bed),2014 Average (One Bed),2015 Average (One Bed),2016 Average (One Bed),2017 Average (One Bed),2018 Average (One Bed),2013 Average (Two Bed),2014 Average (Two Bed),2015 Average (Two Bed),2016 Average (Two Bed),2017 Average (Two Bed),2018 Average (Two Bed),2013 Average (Three Bed),2014 Average (Three Bed),2015 Average (Three Bed),2016 Average (Three Bed),2017 Average (Three Bed),2018 Average (Three Bed),2013 Average (Four Bed),2014 Average (Four Bed),2015 Average (Four Bed),2016 Average (Four Bed),2017 Average (Four Bed),2018 Average (Four Bed),2013 Average (Five Bed),2014 Average (Five Bed),2015 Average (Five Bed),2016 Average (Five Bed),2017 Average (Five Bed),2018 Average (FIve Bed)
10,Mercer County,NJ,Trenton,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1610.8219178082193,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,171.94520547945206,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,170.0205479452055,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1673.7152777777774,1753.333333333333,1710.0,1733.333333333333,1733.333333333333,1734.083333333333,1727.083333333333,,,,,,852.2916666666665,,,,,,1173.75,,,,,,878.125,,,,,,,,,,,,
11,Somerset County,NJ,New York-Newark-Jersey City,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,1748.4246575342465,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,1756.0753424657535,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,611.2876712328767,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1899.583333333333,1991.666666666667,2032.916666666667,2045.833333333333,2108.333333333333,2120.833333333333,,,1165.8333333333333,1375.708333333333,1463.416666666667,1497.791666666667,1742.708333333333,1754.166666666667,1823.75,1868.958333333333,1925.0,1931.875,,,,,2189.583333333333,2135.833333333333,,,,,,,,,,,,
12,Gloucester County,NJ,Philadelphia-Camden-Wilmington,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,2214.910958904109,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,1218.2465753424658,,,,,,,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,507.39583333333326,1383.333333333333,1471.416666666667,1491.25,1520.833333333333,1590.625,1648.333333333333,,,,,968.5416666666664,1088.8333333333333,1182.2916666666667,1035.4166666666667,1193.5833333333333,1255.625,1273.5416666666667,1324.0416666666667,,,,,1470.0,1571.166666666667,,,,,,,,,,,,
13,Atlantic County,NJ,Atlantic City-Hammonton,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1611.7260273972602,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,1254.2328767123288,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,468.7602739726028,519.6875,519.6875,519.6875,519.6875,519.6875,519.6875,1809.375,1622.5,1604.166666666667,1542.708333333333,1518.75,1570.791666666667,1007.0833333333336,996.25,1062.875,1014.0833333333336,943.125,1000.8333333333336,1278.9583333333333,1217.7083333333333,1237.1666666666667,1201.5,1184.4166666666667,1191.4583333333333,,,,1529.416666666667,1548.916666666667,1541.0,,,,,,,,,,,,
14,Cumberland County,NJ,Vineland-Bridgeton,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,1344.541095890411,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,352.8424657534247,,,,,,,,,,,,,,,,283.3333333333333,1196.6666666666667,1211.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sussex County,NJ,New York-Newark-Jersey City,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,401.4931506849315,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,1298.1917808219175,,,,,,,,,,,,,1408.333333333333,1472.291666666667,1461.875,1495.833333333333,1557.916666666667,1620.833333333333,,,,,537.7083333333334,1153.875,,,,,1418.75,1412.291666666667,,,,,,,,,,,,,,,,,,
16,Hunterdon County,NJ,New York-Newark-Jersey City,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,1504.7534246575342,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,1522.3287671232874,,,,,,,,,,,,,1757.708333333333,1902.083333333333,1892.708333333333,1863.958333333333,1910.208333333333,1948.958333333333,,,,,681.0416666666666,1328.3333333333333,,,,,1643.75,1776.041666666667,,,,,,,,,,,,,,,,,,
17,Warren County,NJ,Allentown-Bethlehem-Easton,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,2106.178082191781,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,441.7945205479452,,,,,,,,,,,,,1421.666666666667,1493.083333333333,1486.666666666667,1516.041666666667,1482.083333333333,1491.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cape May County,NJ,Ocean City,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,598.5616438356166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Salem County,NJ,Philadelphia-Camden-Wilmington,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,390.6575342465753,,,,,,,,,,,,,,,,,,,,,,83.33333333333333,1075.625,1187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Monmouth County,,,,,,,,,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1650.664383561644,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1692.5958904109589,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1604.7054794520548,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,1817.1527777777767,2086.25,2112.5,2162.083333333333,2158.333333333333,2279.1666666666665,2368.75,1246.6666666666667,1344.7916666666667,1320.5833333333333,1393.333333333333,1406.458333333333,1465.625,1740.208333333333,1769.583333333333,1773.75,1783.041666666667,1841.25,1916.666666666667,2241.875,2254.1666666666665,2332.5,2312.5,2370.833333333333,2445.833333333333,,,,,3014.583333333333,3483.333333333333,,,,,,
