"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade","06","067",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1685,1695,1697.5,1695,1697.5,1725,1695,1747.5,1695,1695,1695,1695,1722.5,1695,1675,1697.5,1775,1795,1795,1750,1795,1795,1795,1795,1822.5,1800,1800,1795,1695,1895,1920,1920,1855,1800,1895,1850,1797.5,1895,1895,1995,1935,1950,1995,1972.5,1895,1895,1899.5,1995,1845,1995,2125,1885,2047.5,2200,2100,2200,2200,2250,2214,2195,2080,2200,2295,2162.5,2295,2300,2300,2200,2200,2200,2197.5,2297.5,2325,2300,2357.5,2300,2225,2200,2295
"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach","12","099",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3600,3700,3950,3600,4000,4000,3800,3600,3799.5,3992.5,3970,3725,3750,3975
"Cuyahoga County","OH","Cleveland-Elyria","39","035",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1050,950,1000,1000,1150,1100,1100,1120,1100,1000,1100,995,950,900,995,1100,1200,1100,1100,1085,1100,1050,1100,1062.5,1087.5,1087.5,1200,1200,1225,1250,1197.5,1200
"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater","12","057",24,,,,,,,,,,,,,2200,2100,2000,2250,2200,2200,2200,2200,2100,2000,2000,1950,1900,1997.5,1900,1987.5,2000,1995,2172.5,2200,2112.5,2125,1995,2000,2100,2000,2100,2000,1995,1995,2100,2000,2000,1995,2000,1995,1995,1995,1999,2100,2037.5,2100,2097.5,2072.5,2000,2000,2000,2000,2095,2072.5,2150,2125,2172.5,2100,2195,2195,2112.5,2012.5,2100,2180,2100,2150,2120,2100,2250,2195,2300,2225,2049,2400,2150,2200,2187.5,2200,2200,2300,2200,2195,2195,2200,2200,2212.5,2195,2210,2235,2200,2197.5,2252.5,2250,2300,2300,2200,2172.5,2200,2200,2195,2200,2195,2285,2376,2400,2395
"Allegheny County","PA","Pittsburgh","42","003",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1200,1295,1210,1200,1372.5,1200,1050,1100,1200,1060,1165,1110,1195,1250,1200,1195,1195,1250,1047.5,1100,1195,1200,1180,1195,1200,1200,1225,1200,1197.5,1190,1195,1200,1300,1200,1250,1312.5,1222.5,1299,1300,1200,1200,1250,1325,1400,1400,1400,1500,1500,1475,1437.5,1400,1377.5,1375
"Orange County","FL","Orlando-Kissimmee-Sanford","12","095",26,,,,,,,,,,,,,,,1800,1895,1900,1850,1912.5,1992.5,2000,2295,2300,2199,1825,1900,1850,1850,1985,2025,1975,2000,1950,1950,1972.5,1850,1900,1900,1950,1997,1999,1995,1975,1995,1962.5,1900,1995,1950,1900,1900,1900,2000,2000,1995,2000,2000,2000,2000,1995,1950,1995,2000,1999.5,2000,2100,2112.5,2095,2050,2025,2050,2097.5,2112.5,2150,2150,2175,2195,2160,2150,2249.5,2200,2285,2050,2172.5,2250,2300,2265,2300,2300,2300,2349.5,2300,2203,2275,2320,2335,2300,2300,2397.5,2395,2450,2450,2400,2399,2400,2400,2350,2300,2400,2500,2500,2590,2650,2500,2500
"Fairfax County","VA","Washington-Arlington-Alexandria","51","059",27,,,,,,,,,,,,,2897.5,3100,3290,3487,3500,3500,3750,3325,3200,3100,3250,3200,3200,3191.5,3200,3500,3497.5,3500,3500,3400,3350,3100,3250,3200,3450,3400,3299.5,3725,3700,3500,3800,3525,3300,3225,3095,3200,3350,3300,3485,3500,3500,3500,3488,3300,3325,3500,3400,3300,3275,3287.5,3425,3300,3350,3500,3485,3400,3300,3260,3500,3350,3300,3300,3375,3400,3500,3400,3475,3450,3400,3472.5,3200,3425,3400,3500,3500,3500,3500,3500,3550,3500,3300,3300,3300,3325,3400,3500,3500,3500,3600,3500,3500,3450,3387.5,3400,3200,3400,3400,3500,3575,3450,3500,3500
"Contra Costa County","CA","San Francisco-Oakland-Hayward","06","013",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3400,3200,3400,3300,3285,3200,3500,3445,3474,3449.5,3400,3250,3495,3800,3545,3500,3650,3950,3950,3950,3550,3595
"Salt Lake County","UT","Salt Lake City","49","035",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1700,1712.5,1795,1797.5,1810,1895,1910,1995,1899.5,1862.5,1849,1800,1900,1912.5,1937.5,1925,1995,1995,1995,1925,1995,1995,2000,2000,2095,1995,2000,1995,2100,2149,2195,2100
"Travis County","TX","Austin-Round Rock","48","453",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,4000,3750,3550,3500,3495,3500,3595,3500,3395,3500,4097.5,4047.5,3995,3800,3900,3847.5,3800,3800,3895,3725,3775
